entry,date,n_month,month,text
275,Sun October 6,10/1912,October,Found H Greene had come in the eve. while I was out. Nice to yave him I break in c with them. Went aVound a little with. Glorious day mild and ex. I spent the entire mornin doors at desk and writing letter to Times A new one. Lunch out and very Jolly. All resting after and then all a run in Halls car A little more rest and getting ready for the PARTY. A all day going to Grotton with the D's and bringing back Harry Davison. He was late but the W's came and we were very gay I blundered at din about Cigarettes. for which I had to pay. H Davison came in for a moment en route a joy to see him. We all to st bur r he dull. tho I did my best Felt stupid. It is over anyway. I hope A was pleased.
276,Mon October 7,10/1912,October,Cold. Furnace fire for Mrs R. who came betimes and I was glad to get at it. tho I don't care much for it No news yet from Wynnewood. but I had two jolly posts from Sl and J.B.T. en oroute. No sign from R.R and I knew there was a party all day there The W's.. In aft I thought I had better go and call on Mrs. Coxe who had come to Sinks. Expected out but no. Found Miss S Eck and Julia in drwing room Felt chill at once. Soon voices. A and the W's. Very hectic. A stayed o only a wild moment. But I saw glance exchanged about word from Sl. She has had a leter an telegram. I don't understand. Tea and I left soon.. Took walk and met Mr. Harrison. Found Mrs Fenno here and friend. and while we were talking in lr. A came and I did not know Went away.
277,Tues October 9,10/1912,October,"Natale took off screens So nice to be open. Work going on well. I had E ask the Halls to come in in eve, and at 1.30 called up A and asked him to come in and have music. Too late Had accepted Miss S for din. with Coxes. I asked to come in late. Went to see Mrs Sleeper in aft and took walk alone. They rather early and very jolly and nice only I was watching in vain. A not appear. I saw lights at 10.30 and Anna who went in and said din was not over till nearly ten. Hor id windy night. Don't like things n"
278,Wed October 9,10/1912,October,No news yet from Wynnewood. E and I are beginning to feel as if it would not happen. Mrs. A came over fo a short visit in morning..not very satisfactory and I feel wor ied... Got to work and did right arm and sleeve. ot feeling well. Halls having tea and music for Sinks and Mrs Coxe E there and I expecting Davisons and Harrisons at 4.30. They came cloudy and cold. Were in st & Miss Sink and Coxe came as they were leaving. Not bad Made a good shape of it. nd after they were gone M  iss S called up to ask E and me to dine ther. No I wasn't fit but E went after din. Dear letter from SI. I long to write to him. So anxos tht I called u p Mrs A and she told me A was where she did not like Bass Rocks. But this does not wor y me much. Was awake at three and saw light in upper window.
279,Thurs October 10,10/1912,October,The NEWS has come. Little S  ophie.. All well. Good tel from H. but I cannot help being dis that it is not little Harry. That would have ben too much.. What a father's heart is hers. Poor Mater not there In Texas. I called up Mrs A to tell her. She said he was out and in a moment came over bringin a note from herself. At the gate. Terrble.. she cryin He has lost J.H. and she says she never saw him more depressed.. She had sent him in there to see Mrs Cox Sinks off for the day. I was completely knocked down. Didn't see how I could paint but go on some how. She sent in another note modifying a little. I must be confident and cheerful and say nothing When I see him. I had to call up and he ans. I asked if Jack was coming. Then followed an long gangle about cigarettes. So out of my mood and horrid.. but he asked E and me to go to the pet place this aft Atvhtree we went off in his car. Marvellous. Quarelling at first. but o how he loved the place. Divine hour. i that beauty. He wept over it. and I managed not to see. Then back to R.R. where we went in Sat long in the rock loge looking at wonder harbor Oranges and then Parsifal on the Orch. He walking back with us.  I hope cheered.  But that horrible other FEAR of mine.
280,Fri October 11,10/1912,October,Soft lovely moist day. Got all the ordering done fo over Sunday and the meals all arranged. Nettie sat all morning with us in st sewing and listening to Miss K read Far from the madding Crowd.  Finished second hand and tomorrow will stave away at last on head.  Amm expecting J.Wilkie some time in the dau.  Was sitting by fire in l.r just before lunch when E who had run out came in with A.P.A He was in delicious mood and stayed nearly two hours while we sat thereeating by fire in l.r. We were gay and I think it probably tossed him over some time . I don't know just where things stand any more than yest but we have had him near anyway . The Halls asked us to go to Miss D's with them at 4.30 and we we did A said maybe he would but did not. Very jolly Harrisons and a cous of Miww H miniatures. I was prone in wrap when I got home when mail and great surprise and joy Letter from little Fran .. She and Jack are engaged..... It is splendid only it is one more gone.  I longed to tell A byt E thought I oughtnt to .But I heard his voice down sta and he was there with Shaker for cocktails. ..I in wrap on atairs. and he up to writing room to see F's lettr I had to tell him I fered it w uld be down for him losing J but he semed happy in it . Tel from Jack here and we all in pantry.much fun. E and I alone eve. I assleep on rug while she read Miss Sink came in with W Longfellow.
281,Sat October 12,10/1912,October,Nice day and not too cold .. Finishing Ripley. as afrom as her sittings are concerned. Very anxious about Nadley visit. Wilkie came at 12 but I did not see till after Ripleys had gone.  Found in l room and so delightful to have him again .. Very expressive of course.Took him down to his room and we were having lunch a deux in the l room before the fie when I saw A.P.A's head at the window of the front doo Came in very glowing and ex. finding us so. Sat down and we had much fun . To my joy wanted to to have Roly meet the H's this eve. and also will go for Mrs Gardner tomorrow . What a load of my mind . It was too wonderful to have him do these things and his whole tone was the dearest. After he left I showed W the pics and we had good talk . Then I had rest and walked to Point . Anna and R went twicw to train as they did not come at first . They got here at 6.30 very cordial and pleased .. A and Jack came in good time and I kissed J twice but alas had no chance to talk tho he was beside me at table.  All went well and the dinner was good . Of course it was very heavy aft as we had no musid nor anything . To st and A forgot he was the one to go and stayed till 10.3o.
282,Sun October 13,10/1912,October,Perfect day and I rejoiced on waking.  H's had break in sunshine in writing room W. E and I in l.room. A. called up and came at 9.30 and took them to drive in his car . What a blessing I had a few near words with him before . I to st and W and E basking on terrace Chance for me to get ready in st and see to things. A took them all over the placein stad of me. Got at drawing a pull but it went well Mrs H readin At one was still at it when Ripley came .but I could stop They joyful over it.   I cleaned up and was not more than ready when A brought Mrs. Gardner. We were eight and a very gay party Eat in d. room Brilliant talk . Many appropos by the H's .. Jrs G charming . I put her betwee H and A. On terrace after and had coffee by pool first time . Fabyans came but would not meet. A took Mrs G off at 3.30 and at four I took The H's and W to see the S1 house . ar to go to R.R at five. Did and A was never dearer. They delighted. Isuggested his coming in eve but he did not and I did not expect. Supper not very good but we had dear Mrs Hall and I had invited the Sinks F. Wharton and Miss S. . Wilder came in and Wilkie had to go at nine alas. To st and Msr H played F.W sang Got through pretty well. and felt it was good. But what should I have done without A.....
283,Mon October 14,10/1912,October,Lovely day and H;s had break with us in l.room.  Down to see pics and they wer off at 9.45.  It was Good their visit and they wer delightted to have the drawing which I shall send them .  I did bis and imprtant thing s left behind. Letter from dear H about little daughter . Six pounds and intelligent lookign . Then to st and did a design for E's portrait . A good deal on insp.   She running about . Roaming about plac after 1   Too lovely and then rest . Saw nothing of A all da  Out to see Mrs S1 and then walk alone . Miss Sink called  to ask E to dine ther not me . Mrs H to be ther and A. I did alone and reading and sleeping and reading in eve.  Called up Mrs A and had good little talk.   Late heard voices on terrace and went out . E with three Mr Appleton . Doyle and A.P.A . I had litle words with him and could tell him how he had borne me up through the visit.
284,Tues October 15,10/1912,October,  E came in while I was at break in bed and told me 'Mr A had asked her to go to Boston with himto Theatre on Wed.   Seemed a little embar assed and it was queer. Of course I said it was well. After break he appeared with news of the shooting of T.R Does not appear to be serious.   Also I began at once to relieve him about the T. and he looked a litte conscious and took out program Arliss in D'Israeli was decided on and he seemed very ready to go down to see the pics. . Showed beginning of E and he did not quite like idea but was very dear altogether. I got at drawing on the big canvas. and like it. While we were at lunch by fire party about W. In aft to see Mrs Sl and walk . In eve E and I took short walk alone . Feeling rather queer and dreading things.
285,Wed October 16,10/1912,October,Got started on Turban but did not like much .. .. Solid morning s work . and E pretty patient. At lunch by fire A came in bringing photos taken of t party Very good he ve y anxious to tease me about J.W a little excited and keeping eye son me all the time I took it with what I felt serenity for it seem did not mean much. Could not exactly read hi thoughts I proposed going to st which we did. Looking at start and having much fun. Very jolly. Nothing queer Halls came and he dis came later when E had gone out and left mag.. Very dear. In eve Halls and much int. First Mr and Mrs A and then Fanny. We were reading and very flat.
286,Thurs October 17,10/1912,October,"Lovely day. Got to work early as E was to leave at d II.45. She went up then and I did not. Let them get off. Then worked till 1.30 Got background all in Tired but it was well.   r Rest in afty..and out rather late. Letter from Mr Birckhead saying nothing yet. Warning me not to hope too much... Wrote at once proposing his asking A down there. and went out to post it at Gate Lodge. Met the A's . who took me up and I fancied Mrs A did not like the party to town much. Party got back at seven and I called over.. E not ver radiant. The two 'Young man friend' was brought back.. came back at seven to din and very ga Nothing in this I think. Teasing E, Sat by fire and they left early but I had chance to have nice little talk with A. Decided not to speak of letter from Mr B Yet."
287,Fri October 18,10/1912,October,Got to work and Elise Pollard came to read. Solid morning's work. she reading Rhoda Broughton which I had never read before. Worked on head. Rather com but cannot tell yet. All frames have come and nice photos from Mrs Hadley. Also box of candy from J.W. Called up and heard that SI was coming tonight. Wrote note and sent in to have him get. Halls came in and we were reading when F. Clark who was with A and the same as yest night.. came in from Mis Sink asking us all to go in ther and said Mr H Sleepes was there. MY consternation. Halls did not want to go and I neither so only E went. (In aft the Booth and Mrs Howe my old friends from Cam had been and I had taken the Halls to MY knoll.. They crazy for it..) . I proposed go ng to walk. as I wanted to be OUT. And we did out to P nt. Coming in late from back saw E entering. and heard SI's voice near us in dark. Trembling. I soon melted. Mr H. went and SI came in E went up at once and at first it was cool but I soon understood all. He went for A who was there dining. Had short walk with him and they both came here He was waiting. . Soon we ent otu sending N to bed and walked till 12 up and down... O.
288,Mon October 21,10/1912,October,Working on Mrs Riplet all day. Long time getting Cornelia to do and making up mind about background. Did not finish. SI ca led up to say he had had scene with Miss S and told her what he thought of her.... Then ditto with A and long talk. It is too miserable to me I cannot write of it. Mrs A in tears at tel.. I am not in it.. but may be implicated falsely. E did not ge back till after noon. Comforting  to see. her. Expecting Davisons. Mrs A asked me to have sup with her as A was to be at Sinks where Mrs Gardner is expected. A came in with Miss D. very jolly and seemed to be willing to stay here. No good however. We all to walk in moon and I took prty in to Sinks where we found romantic and elegant people in dark by fire. Gave Mrs G Dreers book Off very so n though urged by A to stay.
289,Tues October 22,10/1912,October,Painting all morn and getting on. Was called o phone in eve and expected tearful vo Mrs. A. It was A asking us to come in. F Clark was there. Orchestrelle and lovely time reprieve. They to sit by fire and I lay on sofa and listened Then charming time with the R.R book going over old times. They came home with. All sweet and nice.
290,Wed October 23,10/1912,October,Horid days these. Don't like to write. of them. E got started and worked on eyes and face. Not good Too sure. Worked very late and E went off with E P. to lunch. When I came up I found note from A on my plate inclosing note back from Mrs D and the photos he took. with thnks. Called him up after lunch. Very soft voice and nice but veiled and did not understand. Had horid suspicions but after an afternoon of distracting mis found not. At four went out desp and to P atcys. Met Ms P and came back with. Found Mrs A on road. very wornout and almost in tears... She got in and I soon found that A has been all aft looking over the old remains of washed  up M.S.S. of two years ago Is going to write something. Mrs A said he said . Ten years work gone. O the accumulation of mis in this. I thought I saw Miss S going R.R. and got out.. Later she called up.. very pleas and saying was coming here. I very pleas too... Heard that Miss S and A were to go to the Hoopers to din tomorrow. SI not invite. E and I alone in eve. No chance to talk with Mrs A. SI reported Patches at R.R. when he went in in eve and nothing doing there.
291,Thurs October 24,10/1912,October,Ter ible day this. No sign all day. and black. Elise came and we did well very well on pic. It is always so when the fires ar at full blast. Did head all over. Reading Rhoda Broughton. Soft rain and very good that. Lunch alone and nothing Tried to rest after. Lay down but little good. Went out alo e to watch and on guard SI not till night Nothing from Mrs. A. Learned late that Miss S and I lunched there ...... Went to walk along to avoid.. Back. Miss S had been here.... Wonderful moon. I called up Mrs Hooper and found out some things. She will come over next week. At eight SI and I took breath. This morn a letter from Mr Birckhead. Not much hope and things I did not l ike at all in it. Told him and after jolly time with E and him he and I went out. To Point and Kays house. Terrible talk but some relief and some not. Puzzled but very sweet at end in little gate house of his. Saw no lights.. though was awake a long time.
292,Fri October 25,10/1912,October,Another horrid day. O how exasperating this is. I cannot rise above it. Work of course and O what a boon. Rain and soft and delicious weather. After short rest went out alone to avoid... Late E and I went in to say good bye to Sink. Sl there on guard. Very pleasant vis and nothing out of US. Heard sounds later. of going and after rather late Sl and A. He very hard and embarrassed and stiff. Mrs W and Miss Sing had supped at R.R. and auto had Baken the party to station and Mrs W home. Not so bad. Young Clark here with E. I upstairs and not coming down till they came. Jolly and hope nothing was sen but it generally is. Don't get much consolation from abscence. Sat. Lovely day E posing all morn and expecting Paul Chapin. I called up A and asked him to din. Seemed very glad to come and did. Very good and agreeable. We went to R.R after and found Sl coming out. Went in orcestrelle and very good time. P.C awafully nice.
293,Sun October 27,10/1912,October,Another lovely day.. Paul and E running all morn. A went to Hoppers.& Sl to lunch with. In eve Sl here to sup and I called up and asked A to c me to walk with us. Did but didnot turn out well E ran ahead with him and left poor Paul to come with Sl and me. Hor id. We finally alone and home first. In dark parlot later and eating apples. A embarrassed and bad as usual when feeling guilty. I horid too. These days are too much.. Mrs Hall to lunch Mon. P got off early. Very nice boy Work of course and got on dazzling and a rest. Only ambiguous n te from Mrs A. Terrible. Felt as if all was gone. Wrote one to her very wounded and she came over at once so dear All a mistake. Fine talk in my room and much relief fo us both. Fels more than I even the poion. Has had more of it. Sl in town all day and no sign of him.
294,Tues October 28,10/1912,October,While at work mail came and Mr Birckhead's letter All up. A blow but perhaps it is best. Could not ignore nore it and after lunch wrote note and sent over Did my best. and don't know. Nothing in eve. SI or anything.
295,Wed October 29,10/1912,October,Work on pic and doing broczde. Purple and gold. E reading aloud as she poses. Some walking.. No sign of anything. till early eve when was called to tel. A asking E and me to din to. morrow night. Accepted at once. Later came in withvS and continued invite. It is to be Halloween.
296,Thurs October 30,10/1912,October,Work on pic of course and getting on. E reading Egoist. aloud as she poses. Does very well. Work very hard and late. and no rest. Wanted to get up costumes but no time. The dear Hall really getting off. in vry cold aft. in auto. Rest then and went in at 7.15. Nice new Clark boy and really gay jolly time Games and forfeits A semed happy. Only put on .or for the moment. These are hard days for him and I suppose I ought to have more patience. Very sweet and gentle. and I felt the way I should fo the time being. SI there Only we five.
297,Fri October 31,10/1912,October,Wrong dates. This should be yest.. Halloween party was Wed. Painting all day nearly. A called up and invited us again tonight. Hard rain and we had to go in pour. Did not send for us. Nice Doyle boy and I managed not to be cornered. Got him nex at table only four....... and put A by E. After felt awkward and went up to see Mrs A. She half undressed and very welcoming. Long talk. Found SI there when I went down. Mrs A sent down note to me and I saw A's eye on me.as I read it. Nothing verynice. going home.
298,Sat November 1,11/1912,November,E to go for all day football with Clark A taking her to Howes in his car and also with party all day. I did not see when they left. Was in studio. Worked till nearly two on head gear. and after lunch went ver and had another long talk with Mrs A Very sweet and trying to make me feel better. A had talked long with her and she was happy in hav ing done the right thing. Wanted me o look above. Wish I could. Went home to rest and in eve at nearly ten was asleep on rug by fire wheh they came in. Thought A tried to be nice. handshake.
299,Sun November 3,11/1912,November,Very cold...Hard to keep warm. In order to finish as soon as poss with E worked hard all morn. and late Sent invite to R.R for sup but other guests. Nothing all day till five when I was resting in l room when Sl and Clark came in E at Pollerds and don't know who else. there Charming interlude to all this hard time with the two. sitting by fire on floor. Into Winter quarters with sofa. Very cosy. E came and we divided. Sl and I whispering on one side they the other. Did not g till seven. Sl came in again soon after sup and later Clark again. Called up R.R. and asked to bring guests over but it was too late. E went over for a moment with C;ark. Nice boy. Mrs A off at Patches all day and no sign. Lovely visit from dear Halls so cheering.
300,Mon November 4,11/1912,November,Mrs H played while I painted  Not quite so cold. Natale doing many useful things on plac and we will not be so pressed this time getting off. Got to hand on right but did no do well The only tug. Elise reading. Got note to errill Clement. Plan to have him here Fri if possible. She leaving Sat morn. In aft she running with little Pollard girl. I worked again till nearly four. Then rest. Was in l room when Sl came by fire nice cosy time with E and me heard that A was at Meyers at lunch. Thought he would come over in eve but no. sign. Slept while E read and later sat up and gotmuch writing done downstairs. Bed very late and not good sleep. Don't l ke to keep record of these dys but must.
301,Tues November 5,11/1912,November,Election day. No excitement here.. and we cannot learn newa very fast I feel sure of Wilson. and as the day went  on it became more certain. Work of cours all morn. and I int to call up Garland ans ask him to take us to my desired land to inspect. Yes and came at 3.45. So nice and as it was a perfect mild day a charming trip We laft the auto and walked to it. He entirely appreciative as usual. I like it better every time. Back through town but no ex. Many have voted for Roosevelt. on acc't of Taft's treatment fo the reciprocity affair as regards the Fishermen's interests. After din I called up A to ask wha he thought of it and get the news. Wilson sure and asked up to come over he was painting the eagle. Sl came over after us. and we found A on library floor with the eagle and much gold paint and smell f banana oil. I fell to and we had much fun. Good old fashioned time. and then very tired sat in row on divan and chattered nonsense. They both walked back with us. I have no more fears abou E. The fact of her many suitors makes a difference to him. and she does not notice much tho would have if things had been a little different. Wilson is our President by  over whelming majority. R. next and poor old Taft very little...... The senste is Dem too which will be great help to Wilson. I think Bo feared Ernesta & Andrew
302,Wed November 6,11/1912,November,Working of course and getting on. Elise reading Tess of D'Urberville's. Rather a relief after too much Egoist. Feeling cheerful afte last eve. Nice weather too. Natale getting things done. Had to stop earlty fro Sleeper lunch and was very cross though wanting to go. Struggle getting ready Everyone there when I got there. Warm ehough to eat in the loggia. A Mrs Davis Miss Appleton put by A. and Sl myself and a Dr Smith interesting man I had met once at Mrs Gardners. (wild animals and Africa) at small table by ourselves. Very jolly.. All came over with me to see this place but it looked horrid and put away. I at once to sofa where I sBayed the rest of aft. till time to dress for Sl's supper party. TWO in one day. E and I this time. Mrs Gardner and the two nice boys. Clark and Doyle. Eat in the old English room. charming with medaeval food. and drink I between Sl and Doyle and A by Mrs G. T was ridiculously young. playing with boys. By fire later told stories. A came in late after Seeing Mrs G to station and we left soon all walking home with us.
303,Thurs November 7,11/1912,November,Another mild day. Bless them. Work of cours and not only all long morn bu went down again after lunch and did not stop till after four. short rest and went alone to walk. As I passed R.R coming home A rolled up to gate in auto. and we stood a good while examinging his new garage and then a good deal of talk about all kinds of things. More than for a long time. Sl came in after tea and aging in eve for sone time sitting by fire. The room now in winter quarters and very cosy with the sofa in front of fire. A had been at Meyers playing golf all day. Only a few moments alone with Sl.
304,Fri November 8,11/1912,November,"Another good day. not too cold. E's next to last sitting and doing hands.. so so. but pretty good Don't know the least what this pic is like. Went down again after lunch ans fussed. Then rest and quite late went in to see Mrs A. Nice call upstairs. She rest ng. Very comforting to us both. What a rest it is to have her so, . Merrell C came fine lad and E looked so beautiful in her yellow dress that I cou d see him fairly dazzled. I believe him to be another. Very good din and after a while  they went down to st to be alone ans see the pics. and I to tel to call A. Came and I asked to lunc Mon to see Mrs H oper. and also to speak of m going with Sl and him to town Sun. Very welcoming. Said I was alone and that it was E's last eve. He proposed coming over and did. Good long chat by fire. Nothing like it for some time. When they came up the same Finally spoke of my going away next spring. with real feeling. Very fruitful little time. and real stress. What it is to be right track And how unnecessary anything else is. good letter from J.W. today"
305,Sat November 9,11/1912,November,Lovely day. Merrell and E break alone .and very soon at work.. he reading. aloud as I worked on hands head and all over. he very admiring. A called up to tell the hour. he had asked to take them to train ... All off at 12 and he very pressing for me to go too. but I did not. Ran over to R.R. feeling left and had a nice little chat with Mrs A. Back before return and right after lunch Mrs A called up to ask me to come there to sup.. Just what I wanted. They thought I would be lonely. Fussed on pic after lunch and rest and walk alone. In at 6.30 . A upstairs at first but so nice to have Mrs A down. Sl expected too. Good talk at sup and A very gentle. Around fire after and popcorn Sl persuaded to dod the Victor and so we yad it. Very touching for us all too much for me bu I did not mind A's seeing me cry. We all did. Mrs A gave me lovely scarf. A went home with silent but somehow
306,Mon November 10,11/1912,November,Very cold but not the worst. So glad we were to go off .. we three together. They to Mrs Gardners and I to the dear Elliots. at Needham. Off in auto Anna going too to take cloak to Alison Douglas. Nice in train seat turned over. and at once to the Halls at the Oliver Ames. great house. Dear Mrs Hall. Freddy away. and E to come. Playing Fingalls cave on their big orchestrelle. then off to the trolley and Needham. Dear Mary met me. in auto. and Clayton Johs there. John as dea as ever. Very jolly and much good talk. John and I went off at three thirty in theauto he taking me all the way in to N Stat. Expedting them to get in train. but no.. No sign. Neither at station Roly or auto. Very down. and continue though very wseet welcome and quiet at home. At seven call and A .. very sweet and apologizing. They missed train and had to wait an hour. Had told Roly to meet me but he did not understand. Very satisfying. Later Sl came over nice talk by fire and to bed very satisfied.
307,Mon November 11,11/1912,November,Worked all morn at Ripley and aft too. Getting warm. Did some cutting of nests. but there are very few this year. Caled up Garland and I fear cannot get the land I covet. Miss E very much but it is well to be alone some times. wrote and read and sat on sofa by fire. Called up A and had a nice little talk about the addition. At one thirty Mts Hooper to lunch Large abd very aggreeable person Much engrossed by A.pA who came too. but they stayed till fourthirty very much entertained. Good time in studio. She very admiring. and A only just seeing th things. Went dow n with her to Cap Baileys.. Sl called up eve. Glad I had Mrs H. No mention tho she is great friend of Miss Sink. sweet about it. O these dear intimate home moments I am at HOME there and he feels it I know. Mrs A is a little like Mrs Billin queer. but much better. and I have a little the home feeling I used to have there. added to by the extraordinary resemblance of Sl to Emily. B. A played the new Fingalls cave record I criticising.. Part way to gate Sl took me home. Henry Wolf sent proof of the wood engraving of the Sedgwick portraits fo Harpers. Miss Oliver asking me to speak for the Copley Soc.
308,Tues November 12,11/1912,November,Exquisite mild day . almost hot. I working all long morn at Mrs Ripley against son coming in aft. Drowned pig washed up on the beach . Tel to Board of health who came out in buggy to inspect . Natale in attendance . looking very remote till dollar was extended by the 'thin siting board ' for the interment Finale.  Anna gave me my lunch by the front door   Delicious new sight of loveliness.  Mrs A teled bu I asked her to wait until Ripley had been.   He and brotheringlaw came and looked long and critically . Only criricised minor things. Satisfied I think a relief. Then Mrs A and many small revelations of Sinks doings. .. Wish I could stop thinking about such rubbish but Mrs A is dear wise and sane.   At 6.30 went in to S1s party late but there were A and Mrs A. We had sup in the little Dutch room Dear and delightful and A very gentle Took flash of us . Then went over the house and then in to R.R A crazy over the addition for the piano mine and very much appreciated . So glad to have made this diversion.  A played Fingalls cave .. All very dear.
309,Wed November 14,11/1912,November,Very dark grey eastern day . almost black sky and cold but did not mind. .Everything is right but N.W. wind and clear. Ntale got Payne in boz and ready for Express. I getiing Cornelia done up for E. and the studio in working order for the big pic.   Missed the reading when I got to work for bad thoughts will keep coming .. which reading dispels.   Short rest after lunch and more work and then walk alone to gate lodge for mail and to post notes.   Payne will be ex at Bayleys for a few days and then to Auburn for a few more.   L ng rest but not good for some reason tho very cosy on sofa by my fire.   To S1 at 7.45. Rain . Holker Abbott very nice but looking so old and somehow stricken. I hope nothing is the matter . F Clark did not come . A.P.A. Ate in Dutch room and talk after of Mercer House by fire in Hall Then to R.R and showing H.A. that . A played F. Cave and Charpentier and looking over photo book I made a bad break .. Hope A did not notic notice much Natale came after ..
310,Thurs November 15,11/1912,November,Very dark and rain Gave up trying to work on pic and devoted the day to the attic looking over old things Went pretty well through everything. and dedicated some of the laces and soft things remaining of the dear Grandma and aunties to Aunt Sallie. Wrote to her and did a lotoof bills and desk work. Out for short turn but saw no one . Great party at Wonsons and I asked A . Frank Clark and S1 and Mrs A here She could not but theothers did. Punch andnver(y) good supper. VERY jolly. Went over to R.R about ni to see the hole made for the piano.. and back here They on guard till the servants came home. Eleven and they were very tired A was anyway but it was a nice time. Anna distressed to have kept me up.
311,Fri November 16,11/1912,November,Cold and wind again.. Very hard to keep the studio door open for the light and only fitful sun . Natale posed a short time and I put him in . Very int in his white suit in the warm light of the studio end.  A.P.A and Frank came in after lunch to the studio to see the pic and approve. . A brought papers with long notices of the McClung episode. It is enchanting that he has resigned and makes good for A.P.A who is mentioned all through it with equal importance.   It seems to bring him too before the public one more. and I hope. Was lying down when S1 called up to ask me to go in there to see things of his mothers youth. and later brought them in himself Wonderful dresses of the early sixties. Up in my room by fire where we had tea together which he enjoyed mightily. Had to hurry to dress for Patches sup . They came for me . A Frank and Harry in the car Very cold. but so nice and family there Mrs A. and the children . Saw A in new light . He seemed so much older and different . poor dear I cannot bear it.  But it was very gay toasting marsh mallows. etc Back rather early They did not com in.
312,Sat November 17,11/1912,November,How much later it is than I thought it would be and I still here. VERY cold.  Men were to have come for the piano at 8.30 but they did not and I could no get really to work and there is no time to lose. on the picture. Thet came finally and let in so much cold that the morning was very upset . Natal posed for a short time and I had to stop at 12.30 to get ready for Hoopers lunch .  Put on everthing I had. Car came for me and we picked u A. and Sl at the ga gate . Awfully cold going over but jolly. Great rs H very welcoming . Dean Haskins and new wf and Mr Turner also Harvard. Sat betweb Mr H and the Dean . A good deal of fun and they were delightd with my account of the pig burial Glad Mrs H is ther for A. Terribly cold coming back but A and I sang. an kept warm . I went in to see the piano. and there was dear Jack So good to see him . He came back with me and we had tea and some good talk about thir affairs and also A.P.A. . Sup alone after nap and very dull Was writing in eve when Sl came in bringing old news papers of more than a hundred years ago Accounts of guillotine etc . Incredible. He goes on Monday  to Virginia and will not be here really after that . I hat to think of A here alone.
313,Sun November 18,11/1912,November,"Very cold . Worked in studio. Where Jack came . having had long talk last night with A. Some very bad things for  me  to hear. Oh. So then I felt very cold when I went in at one to lunch. The piano fixd and the nice Halls came & and Frank Clark . and I sat between Halls & Fred .. in after lunch H.s over to see the pic - Very encouraging Walk alone .restless Sin l. and told him all. He goes tomorrow alas .. Morning . November 18'. Sl. came over early with the pic and good. kg, seemed a little cool and I dont know why, but it made a  Sadder  parting - Worked on the pic - Got - the right light - a great struggle . Horse  (Stacy's) went over pics with buggy - Horrible - A. came over to tease about it. Came in and worked on pic . my niece and we had long talk after left . She called up later and asked me to come to sup . I went later in eve Piano and German domestic and walked home with me nice - but no possibility of S"
314,Tues November 19,11/1912,November,A came over to tease about poor horse's legs sticking out of water . on the beach . Then to for a few moments. And I did not detain - I little  thought as we went off looking back by studio path that it would be the last . . . Anne B. came but I  had not done so well and she was not very enthuse  over the pic - oh. After lunch Mrs A. called up - He has  gone  . to New York. Called by H.P. Davison.  Much is good  but . I went over after a while - and we had the small comfort of  Talking  . Anne a great Comfort. I wrote in eve. side. Things getting alone. Lousy pa from I.O. & nice letter about the show opem drawings Tue . Ac - a dept of Ripleys  came   and  the portrait ..
315,Wed November 20,11/1912,November,"A lovely day .. I did not break with Annie. and she tok care of herself.  I very low worked on pic not feeling that it was good and getting smal On floor and background of course. All getting ready work going well and and better than usual.  Mra A called and we arranged to go to G together. Car at two and we took Anne to station and then to Allison Douglas and bouthtbmuch Mrs A too and Alision was much pleased. Then I to ban and to F Inst wher after waiting I met Col Wonson and we had fine talk upstairs . Forgot durng this, Roly took me home and I presented him with five. Alone in eve but getting many things done and did not mind. any thing but........"
316,Thurs November 21,11/1912,November,Another mild lovely day How I should have loved th these days if.... Postal from SI from Phila . a comfor tho telling m nothing. Worked all morn on pic and till last m nute It seemed to get done and improve. Natale spnt aft doing it up in his best style.  Studio put away too All getting done very well. Anne with trunks. I gave Mary Stanley my fur coat and Allison D my thick rough so I have not much to wear. Although very tire I was determined not to go without visiting Cap Bailey at the lighthouse. Walked down there late af lovely walk and all looki wondefful. Cap B so glad to see me . Showed me all o over and even up in the light . I watched him light the lamp and put on the red shade. that goes far Promised him books and mags . Could not think of painful things during this. Then to the pilot next door . Cap and Mrs Mioler getting ready to flit.  Mrs A came soon after I got home and we sat by my fire long eager talk . A comfort though not much . In eve she called from the Patches . Had had a telephone . from the D's from A. Good Much to say of me and sending messages . Not in Phila.. Very great li Did much finishing work on desk and went to be t SIEEP. Wyat a comfort th t the very last is not so bad.
